table	source	reason	form	lemma
AG	ag_lookup.json	duplicate_tonal_marks	Λεοντί́δης	Λεοντί́δης
AG	ag_lookup.json	duplicate_tonal_marks	λεοντί́δης	Λεοντί́δης
AG	ag_lookup.json	duplicate_tonal_marks	Σεγά́θις	Σεγᾶ͂θις
AG	ag_lookup.json	duplicate_tonal_marks	Σεγᾶ͂θις	Σεγᾶ͂θις
AG	ag_lookup.json	duplicate_tonal_marks	σεγά́θις	Σεγᾶ͂θις
AG	ag_lookup.json	duplicate_tonal_marks	σεγαθις	Σεγᾶ͂θις
AG	ag_lookup.json	duplicate_tonal_marks	σεγᾶ͂θις	Σεγᾶ͂θις
AG	ag_lookup.json	duplicate_tonal_marks	Φιλό́κτητος	Φιλό́κτητος
AG	ag_lookup.json	duplicate_tonal_marks	φιλό́κτητος	Φιλό́κτητος
AG	ag_lookup.json	duplicate_tonal_marks	αὺτοῦ	αυτοῦ́
AG	ag_lookup.json	duplicate_tonal_marks	δέῖ	δεί́ω
AG	ag_lookup.json	duplicate_tonal_marks	θέλῆ	θογιλῆ́σκω
AG	ag_lookup.json	duplicate_tonal_marks	κατέλθεῖν	κατέ́ρχομαι
AG	ag_lookup.json	duplicate_tonal_marks	πασὶ	πασιέ͂ς
AG	ag_lookup.json	duplicate_tonal_marks	τὸῦ	τό́ς
AG	ag_lookup.json	duplicate_tonal_marks	μέτῆκται	τῆ́γνυμι
AG	ag_lookup.json	duplicate_tonal_marks	Ερμό́τιμος	Ἑρμό́τιμος
AG	ag_lookup.json	duplicate_tonal_marks	ερμό́τιμος	Ἑρμό́τιμος
AG	ag_lookup.json	duplicate_tonal_marks	ἑρμό́τιμος	Ἑρμό́τιμος
AG	ag_lookup.json	duplicate_tonal_marks	Ἑρμό́τιμος	Ἑρμό́τιμος
AG	ag_lookup.json	duplicate_tonal_marks	ὅποῖόν	ὅ́ποιος
AG	ag_lookup.json	final_elision_mark	·ἐπ’	·ἐπ’
AG	ag_lookup.json	final_elision_mark	Διονύσῳ’	Διονύσῳ’
AG	ag_lookup.json	final_elision_mark	Δἰ	Δ᾽
AG	ag_lookup.json	final_elision_mark	Ξάνθῳ’	Ξάνθῳ’
AG	ag_lookup.json	final_elision_mark	Σύντριβ’	Σύντριβ’
